Id,Description,Subtitle,Title,AgeRange,Author,Country,CoverImageUrl
books/5002,"Vuyo ngaumfganyana waseNingisimu Afrika lotssandzako kudlala! Abantwana labancane kuto tonkhe tindzawo batayitsakasela lendwajan llula nalenetitfombe letidvwerjwe kahle, lechaza kahle tonkhe tintfo latsandza kudlala ngato - nekutsi futsi utsandza kangakanani kudlala nalabanye bantfwana kwengca kenkhe! \r\n",null,Lilanga laVuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8533/8672168694_64a26cb508_m.jpg
books/5003,"Vuyo ndi mutukana mutuku wa Afurika Tshipembe ane a funa u tamba! Vhana vhatuku hunwe na hunwe vha do diphina nga kubugwana ukwu kune,kwa talutshedza zwithu zwine a diphina ngazwo musi a tshi khou tamba nazwo - na uri u funa u tamba na vhanwe vhana zwine zwa tou vha zwihulu-hulu!\r\n",null,Ḓuvha ḽa Vuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8522/8672164894_f3e5a821f0_m.jpg
books/5004,"UVuyo yinkwenkwana encinane yaseMzantsi Afrika ekuthanda kuene ukudlala! Abantwana abancinane kulo lonke elimiweyo baya kuwowabela amaganyana ambalwa nemifanekiso emihle necacileyo, echaza izinto athanda ukudlala ngazo - indlela athanda ngayo ukulala nabanye abantwana!\r\n",null,Imini kaVuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8537/8672188730_48265ae4e5_m.jpg
books/5005,Vuyo I mufana lontsongo wa Afrika Dzonga loyi a tsakelaka ku tlanga! Vafana lavantsongo kwihi na kwihi laha va nga  kona va ta tiphina hi atsalwa lero olova ri tlhela ri ri na swifaniso leswo tsakisa leswi nga na vuxokoxoko lebyi hlamuselaka swilo leswi a tiphinaka hi swona loko a tlanga hi swona - na leswi a tsakelaka ngopfu ku tlanga na vana van'wana eka hinkwaswo!\r\n,null,Siku ra Vuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8519/8672161948_63cf9c36c4_m.jpg
books/5025,UVuyo ngumfana omncane waseNingizimu Afrika othanda ukudlala! Izingane ezincane yonke indawo ziyokujabulela ukufunda incwadi elula nenezithombe ezijabulisayo echaza izinto akathanda ukudlala ngazo - nokuthi ngaphezu kwakho konke ukuthanda kangakanani ukudlala nezinye izingane!\r\n,null,Usuku lukaVuyo,3-5 years,Carol Bloch,South Africa,http://farm9.staticflickr.com/8114/8672189432_e038227e68_m.jpg
books/5026,Wha do I hear? What do I Smell? What do I taste? What do I love to touch? This book provides a fun-filled and entertaining look at the world around us. Young readers enjoy its humour.\r\n,null,What Do I See that Flies?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8537/8672144620_42f9dd8e8e_m.jpg
books/5027,Wat hoor ek? Wat ruik ek? Wat proe ek? Waaraan raak ek graag? 'n Heeltemal ander blik op die wereld om ons vir jong lesers.\r\n,null,Wat sien ek wat vlieg?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8118/8671053839_7614e65cc3_m.jpg
books/5028,"Ngizwa ini? Nginukelela ini? Nginambitha ini? Ngithanda ukukgwatha ini? Ukuqala iphasi lethu ngendlela ehlukileko,ukwenzela abafundi abasebancani.\r\n",null,Yine engiyibonako ephaphako?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8396/8672136370_143f5ae099_m.jpg
books/5029,"Ke kwa eng? Ke kwa monkgo wa eng? Ke latswa eng? Ke rata go kgoma eng? Tsela yeo e fapanego ya go lebelela lefase la rena,bakeng sa babadi ba rena ba bomapimpane.\r\n",null,Ke bona eng yeo e fofago?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8126/8671033841_31c5f3094f_m.jpg
books/5030,"Ke utlwa eng? Ke utlwa monko wa eng? Ke latswa eng? Ke rata ho thetsa eng? Tsela e fapaneng ya ho sheba lefatshe la rona, bakeng sa babadi ba bannyane.\r\n",null,Ke bona en e fofang?,3-5 years,Reviva Schermbrucker,South Africa,http://farm9.staticflickr.com/8385/8671032485_25abb5503a_m.jpg
